model,role,order,radius_A,reference,prediction,error
source_density_gauge,fit,1,6.1,0.00018576307443612225,0.00018233420056479202,-3.428873871330233e-06
source_density_gauge,fit,2,2.1,1.4620422766761552,58.30883222297529,56.84678994629913
source_density_gauge,fit,2,2.35,5.1144326393308495,12.146532187298623,7.032099547967774
source_density_gauge,fit,2,2.6,3.649553174018949,3.062678243646669,-0.58687493037228
source_density_gauge,fit,2,2.85,1.288556908644618,0.9630281929161659,-0.3255287157284521
source_density_gauge,fit,2,3.1,0.47181224632751917,0.2981494755894053,-0.17366277073811387
source_density_gauge,fit,2,3.35,0.09944937903185946,0.02417030426392435,-0.0752790747679351
source_density_gauge,fit,2,3.6,-0.1485032320766139,-0.0862348572671,0.06226837480951389
source_density_gauge,fit,2,3.85,-0.10228833603621694,-0.06999349818582386,0.03229483785039308
source_density_gauge,fit,2,4.1,0.11882979174680557,-0.04260597084769448,-0.16143576259450004
source_density_gauge,fit,2,4.35,0.09787747011974561,-0.019242100559964552,-0.11711957067971016
source_density_gauge,fit,2,4.6,0.1215332829234435,-0.011950726473091016,-0.13348400939653451
source_density_gauge,fit,2,4.85,0.034198968138245744,-0.003820846243616419,-0.038019814381862166
source_density_gauge,fit,2,5.1,-0.0995321832173856,0.0013222463290366768,0.10085442954642228
source_density_gauge,fit,2,5.35,-0.13635440979149863,0.0020550282557557716,0.1384094380472544
source_density_gauge,fit,2,5.6,-0.11576222668981705,0.002948486853725966,0.11871071354354301
source_density_gauge,fit,2,5.85,0.03898624740440347,-0.008883082296109282,-0.047869329700512754
source_density_gauge,fit,2,6.1,0.01863339276840556,-0.004006647751801589,-0.02264004052020715
source_density_gauge,excluded,0,2.225,0.7143413571460389,0.7291747432380632,0.014833386092024337
source_density_gauge,excluded,0,2.475,0.21239059629627635,0.1341156524301324,-0.07827494386614395
source_density_gauge,excluded,0,2.725,0.0014416022435731638,-0.017647254104039584,-0.01908885634761275
source_density_gauge,excluded,0,2.975,-0.06032310043367308,-0.049982087788761204,0.010341012644911877
source_density_gauge,excluded,0,3.225,-0.06667178808736414,-0.044431443552611416,0.022240344534752723
source_density_gauge,excluded,0,3.475,-0.05861878896828662,-0.02930111677954634,0.029317672188740283
source_density_gauge,excluded,0,3.725,-0.05016368373657208,-0.01707187396470282,0.03309180977186926
source_density_gauge,excluded,0,3.975,-0.05388149827260093,-0.009771854947151713,0.04410964332544921
source_density_gauge,excluded,0,4.225,-0.05489701651067258,-0.005987563858235822,0.048909452652436756
source_density_gauge,excluded,0,4.475,-0.04946974228890929,-0.004001044878976467,0.045468697409932826
source_density_gauge,excluded,0,4.725,-0.037191631962907284,-0.00299349197315286,0.03419813998975443
