state,change,atom_i,atom_j,initial_surface_i,initial_surface_j,touches_grip,old_distance_A,distance_A,midpoint_z_A
loading_10pct,formed,186,190,False,False,False,3.3814896450334517,2.551532068441124,1.5475342075430945
loading_10pct,formed,192,200,True,False,False,3.6918316333750507,2.3468329443581792,-1.6231654119278964
loading_10pct,formed,193,201,True,False,False,3.541980715933185,2.386689765615168,1.165893905221352
loading_10pct,formed,194,196,True,False,False,3.8314982060653833,2.467993155558835,-0.8172299826490829
loading_10pct,formed,194,197,True,False,False,4.4563967580024775,2.3814330655870535,0.9827847779240753
loading_10pct,formed,195,244,True,False,False,4.485531828932218,2.4514413963673656,3.597106521904911
loading_10pct,formed,198,201,False,False,False,4.35304187083087,2.354484576966583,0.7850885241488527
loading_10pct,formed,199,211,False,False,False,5.1542203017172366,2.6469877375647743,3.898335166231573
loading_10pct,formed,199,244,False,False,False,4.448343114831197,2.497175050356062,3.4866014012848687
loading_10pct,formed,203,240,False,True,False,4.485794085677336,2.4514414161990694,3.597106562452052
loading_10pct,formed,203,248,False,False,False,4.448597367181145,2.497174903231188,3.486601419079639
loading_10pct,formed,205,214,True,False,False,4.45675815099023,2.3814330453662342,0.9827847279625629
loading_10pct,formed,206,210,True,False,False,3.5425849353475978,2.3866897528911095,1.165893953166088
loading_10pct,formed,207,211,True,False,False,3.6919098550889276,2.576448466664398,3.3122337813230027
loading_10pct,formed,208,212,False,False,False,4.0621058830612755,2.5744278774265554,-1.7727504645349417
loading_10pct,formed,210,213,False,False,False,4.353005640035519,2.3544846635918706,0.7850884231597907
loading_10pct,formed,227,272,True,False,False,4.376313415250832,2.391576884464212,8.167422439258308
loading_10pct,formed,228,236,True,False,False,3.691546707876272,2.5764483042224593,3.312233780404079
loading_10pct,formed,229,237,True,False,False,3.539368064828197,2.554843676106581,5.31726501855969
loading_10pct,formed,229,238,True,False,False,4.646628624805512,2.7673957712212855,6.125263114199027
loading_10pct,formed,230,234,True,False,False,3.86932239349437,2.4054260379766883,6.649804468779867
loading_10pct,formed,230,243,True,True,False,4.869777277712191,2.3779290749392947,6.901863374406814
loading_10pct,formed,236,248,False,False,False,5.154432714061198,2.646987863345552,3.898335126463946
loading_10pct,formed,237,238,False,False,False,4.308049025689695,2.3432492081226797,6.170885918016113
loading_10pct,formed,238,264,False,True,False,3.9559661380809805,2.4050050953118647,7.049487722536297
loading_10pct,formed,238,272,False,False,False,3.7872850484339495,2.4994448557391284,7.822174142652063
loading_10pct,formed,239,265,False,True,False,3.8991091340000876,2.377732249749203,9.695192329508359
loading_10pct,formed,241,249,True,False,False,3.8688792047525293,2.405426048738023,6.649804448850046
loading_10pct,formed,241,264,True,True,False,4.871274297415919,2.37792908573605,6.901863313999231
loading_10pct,formed,242,245,True,False,False,4.6462072213636905,2.7673957754933314,6.12526305851587
loading_10pct,formed,242,246,True,False,False,3.5394922539451934,2.554843659170816,5.317264967539254
loading_10pct,formed,243,245,True,False,False,3.9553440831942392,2.405005006389104,7.049487752839572
loading_10pct,formed,245,246,False,False,False,4.307739630256507,2.343249169877055,6.170885869270806
loading_10pct,formed,245,247,False,False,False,3.7867342384543816,2.499444943144029,7.822174122477781
loading_10pct,formed,247,256,False,True,False,4.376002201814256,2.3915768616335473,8.16742246979706
