run,observable,role,units,target,prediction,scale,normalized_residual
separate_range,new_off_path_positive_energy,fit,eV/cell,0.05360470506556986,0.05375843036708435,0.0053604705065569865,0.02867757621769504
separate_range,new_off_path_positive_normal_force,fit,eV/L0,0.35206897342006,0.4105391698431718,0.03173805605024358,1.8422740299704983
separate_range,new_off_path_positive_Haa,fit,eV/L0^2,13.446420569551602,18.318212073759998,1.3446420569551603,3.6231140317298998
separate_range,new_off_path_negative_energy,fit,eV/cell,0.21544733160917068,0.2222869569243393,0.021544733160917068,0.3174615932387577
separate_range,new_off_path_negative_normal_force,fit,eV/L0,-0.05312860042135701,-0.05370771968803978,0.03173805605024358,-0.01824684113500784
separate_range,new_off_path_negative_Haa,fit,eV/L0^2,13.5831841481301,14.594249911949161,1.35831841481301,0.7443510687869515
separate_range,new_shockley_058_energy,fit,eV/cell,0.07969505412787091,0.09235091101583634,0.007969505412787091,1.5880354215782422
separate_range,new_shockley_058_normal_force,fit,eV/L0,-0.6123357455328253,-0.7917954718334752,0.03173805605024358,-5.654401958851937
separate_range,new_shockley_058_Haa,fit,eV/L0^2,23.107568998056017,34.6627677160224,2.3107568998056016,5.000612015456276
separate_range,new_opening_1.17h_energy,fit,eV/cell,0.14263027381623705,0.13149418620897807,0.014263027381623706,-0.7807660540290744
separate_range,new_opening_1.17h_normal_force,fit,eV/L0,1.6398229617729339,1.30025434873976,0.03173805605024358,-10.699099292521659
separate_range,new_opening_1.42h_energy,fit,eV/cell,0.4226003973463561,0.3684980929231348,0.042260039734635615,-1.2802236998106749
separate_range,new_opening_1.42h_normal_force,fit,eV/L0,0.8686291067124379,0.937005681642495,0.03173805605024358,2.1544033705722923
separate_range,new_opening_1.78h_energy,fit,eV/cell,0.5953584311886578,0.5689418001954556,0.05953584311886578,-0.4437096983822055
separate_range,new_opening_1.78h_normal_force,fit,eV/L0,0.5989965116849877,0.48659536155586847,0.03173805605024358,-3.5415259822838636
separate_range,new_opening_2.23h_energy,fit,eV/cell,0.7765619947928292,0.6946461494090075,0.07765619947928293,-1.0548526187619462
separate_range,new_opening_2.23h_normal_force,fit,eV/L0,0.15664558956102492,0.23097640949755088,0.03173805605024358,2.3420092213226615
separate_range,new_opening_3.4h_energy,fit,eV/cell,0.7719163228888833,0.794095426150476,0.07719163228888834,0.2873252268923108
separate_range,new_opening_3.4h_normal_force,fit,eV/L0,0.0,0.035994172242550526,0.03173805605024358,1.1341013509324331
separate_range,new_opening_5.5h_energy,fit,eV/cell,0.7719163228888833,0.8134080089993494,0.07719163228888834,0.5375153352786237
separate_range,new_opening_5.5h_normal_force,fit,eV/L0,0.0,0.0023496218897542977,0.03173805605024358,0.0740316888354687
