source_frame,atoms,observed_group,Si_without_O_neighbors,Si_with_1_to_3_O_neighbors,Si_with_4_or_more_O_neighbors,Si_with_H_neighbors
603,232,Si_O_H_vacuum1,180,12,0,16
604,232,Si_O_H_vacuum1,181,11,0,16
605,232,Si_O_H_vacuum1,181,11,0,16
606,232,Si_O_H_vacuum1,180,12,0,16
607,232,Si_O_H_vacuum1,181,11,0,16
608,232,Si_O_H_vacuum1,181,11,0,16
609,232,Si_O_H_vacuum1,180,12,0,16
610,232,Si_O_H_vacuum1,180,12,0,16
611,232,Si_O_H_vacuum1,180,12,0,16
612,232,Si_O_H_vacuum1,180,12,0,16
613,232,Si_O_H_vacuum1,180,12,0,16
614,232,Si_O_H_vacuum1,180,12,0,16
615,232,Si_O_H_vacuum1,181,11,0,16
616,232,Si_O_H_vacuum1,180,12,0,16
617,232,Si_O_H_vacuum1,179,13,0,16
618,232,Si_O_H_vacuum1,179,13,0,16
619,232,Si_O_H_vacuum1,179,13,0,16
620,232,Si_O_H_vacuum1,179,13,0,16
621,232,Si_O_H_vacuum1,179,13,0,16
622,232,Si_O_H_vacuum1,180,12,0,16
623,232,Si_O_H_vacuum1,179,13,0,16
624,232,Si_O_H_vacuum1,180,12,0,16
625,232,Si_O_H_vacuum1,180,12,0,16
626,232,Si_O_H_vacuum1,182,10,0,16
627,232,Si_O_H_vacuum1,180,12,0,16
628,232,Si_O_H_vacuum1,180,12,0,16
629,232,Si_O_H_vacuum1,180,12,0,16
630,232,Si_O_H_vacuum1,180,12,0,16
631,232,Si_O_H_vacuum1,180,12,0,16
632,232,Si_O_H_vacuum1,181,11,0,16
633,232,Si_O_H_vacuum1,180,12,0,16
634,232,Si_O_H_vacuum1,180,12,0,16
635,232,Si_O_H_vacuum1,181,11,0,16
636,232,Si_O_H_vacuum1,181,11,0,16
637,232,Si_O_H_vacuum1,181,11,0,16
638,232,Si_O_H_vacuum1,181,11,0,16
639,232,Si_O_H_vacuum1,181,11,0,16
640,232,Si_O_H_vacuum1,181,11,0,16
641,232,Si_O_H_vacuum1,181,11,0,16
642,232,Si_O_H_vacuum1,181,11,0,16
643,232,Si_O_H_vacuum1,180,12,0,16
644,232,Si_O_H_vacuum1,181,11,0,16
645,232,Si_O_H_vacuum1,182,10,0,16
646,232,Si_O_H_vacuum1,181,11,0,16
647,232,Si_O_H_vacuum1,182,10,0,16
648,232,Si_O_H_vacuum1,181,11,0,16
649,232,Si_O_H_vacuum1,181,11,0,16
650,232,Si_O_H_vacuum1,181,11,0,16
651,232,Si_O_H_vacuum1,182,10,0,16
652,232,Si_O_H_vacuum1,181,11,0,16
653,232,Si_O_H_vacuum1,180,12,0,16
